genes	Diff1	Diff2
CCDC142	-0.339140609	-0.339140609
CCDC146	0.006400415	0.006400415
CCDC148	-0.069447882	-0.069447882
CCDC149	-0.213719265	-0.213719265
CCDC15	-0.393390497	-0.393390497
CCDC150	-0.129611858	-0.129611858
CCDC152	1.056089887	1.056089887
CCDC154	-0.009430588	-0.009430588
CCDC157	0.023158194	0.023158194
CCDC158	0.046668984	0.046668984
CCDC159	0.142724712	0.142724712
CCDC160	0.015018638	0.015018638
CCDC162P	0.51321471	0.51321471
CCDC163	0.366486357	0.366486357
CCDC166	0.065397684	0.065397684
CCDC167	-0.216216102	-0.216216102
CCDC169	0.04764533	0.04764533
CCDC17	0.243688014	0.243688014
CCDC170	0.189997647	0.189997647
CCDC171	0.116657746	0.116657746
CFAP210	0.103602336	0.103602336
CCDC174	-0.059707808	-0.059707808
CCDC177	-0.009534837	-0.009534837
CCDC18	0.003279894	0.003279894
CCDC180	-0.025930405	-0.025930405
CCDC181	0.124708247	0.124708247
CCDC182	-0.022917254	-0.022917254
CCDC183	-0.116986353	-0.116986353
CCDC184	0.061284992	0.061284992
CCDC186	-0.059913588	-0.059913588
CCDC187	-0.03024059	-0.03024059
CCDC188	0.04924571	0.04924571
CFAP119	0.494527699	0.494527699
CCDC190	0.015411348	0.015411348
CCDC191	-0.247683066	-0.247683066
CCDC194	0.120908442	0.120908442
CCDC200	-0.083653858	-0.083653858
CCDC22	-0.077840127	-0.077840127
CCDC24	0.139249624	0.139249624
CCDC25	0.122167356	0.122167356
CCDC28A	0.44844495	0.44844495
CCDC28B	0.542958685	0.542958685
CCDC3	0.364976198	0.364976198
CCDC30	0.327506462	0.327506462
CCDC32	-0.081387935	-0.081387935
CCDC33	0.02808934	0.02808934
CCDC34	-0.188002043	-0.188002043
CCDC38	-0.446123475	-0.446123475
CCDC39	0.381163303	0.381163303
CCDC40	-0.128917393	-0.128917393
CCDC42	0.059696715	0.059696715
CCDC43	-0.056736023	-0.056736023
CCDC47	-0.187290086	-0.187290086
CCDC50	-0.103543868	-0.103543868
CCDC51	-0.300347785	-0.300347785
CCDC57	-0.231551407	-0.231551407
MIX23	-0.161713105	-0.161713105
CCDC59	-0.014009487	-0.014009487
CCDC6	-0.120781739	-0.120781739
CCDC60	0.007814111	0.007814111
CCDC61	-0.159958953	-0.159958953
CCDC62	0.13938705	0.13938705
CCDC63	-0.155727546	-0.155727546
CCDC65	0.242727331	0.242727331
CCDC66	-0.101006067	-0.101006067
CCDC68	0.295408957	0.295408957
CCDC69	0.022499689	0.022499689
CCDC71	0.016827792	0.016827792
CCDC71L	0.46594405	0.46594405
CCDC73	-0.78091154	-0.78091154
CCDC74A	0.183287363	0.183287363
CCDC77	-0.08348167	-0.08348167
CCDC78	-0.016447147	-0.016447147
CCDC7	0.068246046	0.068246046
CCDC8	0.114192958	0.114192958
CCDC80	0.806425071	0.806425071
CCDC81	-0.059797402	-0.059797402
CCDC82	-0.102179212	-0.102179212
CCDC83	-0.120980412	-0.120980412
CENATAC	-0.014120716	-0.014120716
CCDC85A	-0.117065939	-0.117065939
CCDC85B	-0.018799238	-0.018799238
CCDC85C	-0.34380511	-0.34380511
CCDC86	-0.229619518	-0.229619518
CCDC87	-0.022734785	-0.022734785
CCDC88A	-0.129599819	-0.129599819
CCDC88B	1.062855119	1.062855119
CCDC88C	-0.360679362	-0.360679362
CCDC89	-0.018152864	-0.018152864
CCDC9	-0.14220372	-0.14220372
CCDC90B	0.21435543	0.21435543
CCDC91	0.151590545	0.151590545
CCDC92	0.14578709	0.14578709
CCDC92B	0.055055444	0.055055444
CCDC93	-0.243235028	-0.243235028
CCDC96	0.007323227	0.007323227
CCDC97	-0.155638076	-0.155638076
CCDC9B	-0.075741633	-0.075741633
CCER2	-0.051723353	-0.051723353
CCHCR1	-0.38162729	-0.38162729
CCIN	-0.07896959	-0.07896959
CCK	0.497584629	0.497584629
CCKAR	-0.00710739	-0.00710739
CCKBR	0.015541017	0.015541017
CCL1	0.546796992	0.546796992
CCL11	1.87329305	1.87329305
CCL2	1.67726994	1.67726994
CCL17	0.697479313	0.697479313
CCL19	-0.05079074	-0.05079074
CCL20	0.137987757	0.137987757
CCL21	-1.179753108	-1.179753108
CCL22	0.688693719	0.688693719
CCL24	1.292142368	1.292142368
CCL25	-0.355577793	-0.355577793
CCL27	0.206844991	0.206844991
CCL28	0.220350489	0.220350489
CCL3	1.82024625	1.82024625
CCL4	1.710177491	1.710177491
CCL5	1.503382762	1.503382762
CCL7	2.028410707	2.028410707
CCL8	1.975158627	1.975158627
CCM2	-0.105217437	-0.105217437
CCM2L	-0.178866091	-0.178866091
CCN1	-0.033019421	-0.033019421
CCN2	-0.306139458	-0.306139458
CCN3	0.091426272	0.091426272
CCN4	0.394245675	0.394245675
CCN5	2.016869497	2.016869497
CCN6	-0.069601929	-0.069601929
CCNA1	-0.41821404	-0.41821404
CCNA2	-0.272682502	-0.272682502
CCNB1	-0.353862702	-0.353862702
CCNB2	-0.193322063	-0.193322063
CCNC	0.022633747	0.022633747
CCND1	0.025445448	0.025445448
CCND2	-0.14364044	-0.14364044
CCND3	0.183010904	0.183010904
CCNDBP1	0.17272461	0.17272461
CCNE1	-0.187845201	-0.187845201
CCNE2	-0.203312595	-0.203312595
CCNF	-0.292663822	-0.292663822
CCNG1	-0.076397591	-0.076397591
CCNG2	0.018206181	0.018206181
CCNH	-0.016802624	-0.016802624
CCNI	0.030551137	0.030551137
CCNJ	-0.110566292	-0.110566292
CCNJL	-0.141172907	-0.141172907
CCNK	-0.310631444	-0.310631444
CCNL1	-0.002656484	-0.002656484
CCNL2	-0.014772326	-0.014772326
CCNO	0.004139592	0.004139592
CCNQ	-0.047514549	-0.047514549
CCNT1	-0.232829614	-0.232829614
CCNT2	-0.080033609	-0.080033609
CCNY	0.014731086	0.014731086
CCNYL1	-0.125587872	-0.125587872
CCP110	-0.183212184	-0.183212184
CCPG1	0.206144662	0.206144662
CCR1	1.007345824	1.007345824
CCR10	-0.055485799	-0.055485799
CCR2	1.259688025	1.259688025
CCR3	0.711221808	0.711221808
CCR4	0.188163848	0.188163848
CCR5	1.637859392	1.637859392
CCR6	-0.079318228	-0.079318228
CCR7	0.345387265	0.345387265
CCR8	0.09435338	0.09435338
CCR9	0.09099651	0.09099651
CCRL2	0.838843755	0.838843755
CCS	0.00413321	0.00413321
CCSAP	-0.081723759	-0.081723759
CCSER1	0.126075956	0.126075956
CCSER2	-0.09505672	-0.09505672
CCT2	-0.21695275	-0.21695275
CCT3	-0.181266943	-0.181266943
CCT4	-0.052949837	-0.052949837
CCT5	-0.176663929	-0.176663929
CCT6A	-0.191528359	-0.191528359
CCT6B	-0.159689055	-0.159689055
CCT7	-0.21630941	-0.21630941
CCT8	-0.092548042	-0.092548042
CCZ1	0.012066384	0.012066384
CD101	0.106703002	0.106703002
CD109	0.150393214	0.150393214
CD14	0.377461157	0.377461157
CD151	0.022216139	0.022216139
CD160	0.557833306	0.557833306
CD163	1.290628255	1.290628255
CD164	0.151807499	0.151807499
CD164L2	0.055536294	0.055536294
CD177	-0.100163153	-0.100163153
CD180	1.481674555	1.481674555
CD19	0.173278771	0.173278771
CD1D	0.0286671	0.0286671
CD2	1.171380805	1.171380805
CD200	1.197444058	1.197444058
CD200R1	1.030866597	1.030866597
CD207	0.090228558	0.090228558
CD209	1.08920401	1.08920401
CD22	0.207344934	0.207344934
CD226	1.451956295	1.451956295
CD244	0.527590185	0.527590185
CD247	0.855975531	0.855975531
CD248	0.740200648	0.740200648
CD24	1.698979525	1.698979525
CD27	0.549058065	0.549058065
CD274	0.98112944	0.98112944
CD276	-0.126207027	-0.126207027
CD28	0.527393938	0.527393938
CD2AP	-0.024722988	-0.024722988
CD2BP2	-0.129520943	-0.129520943
CD300A	0.864611962	0.864611962
CD300C	1.131337391	1.131337391
CD300E	0.557793269	0.557793269
CD300LB	1.377319324	1.377319324
CD300LD	1.334027869	1.334027869
CD300LF	0.952578654	0.952578654
CD300LG	0.158374183	0.158374183
CD302	0.391826526	0.391826526
CD320	-0.28718315	-0.28718315
CD33	0.052627761	0.052627761
CD34	1.002633344	1.002633344
CD36	1.21889753	1.21889753
CD37	1.009886811	1.009886811
CD38	0.719285421	0.719285421
CD3D	0.889146657	0.889146657
CD3E	1.292184114	1.292184114
CD3G	1.613090737	1.613090737
CD4	0.132818038	0.132818038
CD40	1.309863896	1.309863896
CD40LG	0.214104301	0.214104301
CD44	-0.077394381	-0.077394381
CD46	0.356002785	0.356002785
CD47	0.552302842	0.552302842
CD48	1.442376772	1.442376772
CD5	0.714550723	0.714550723
CD52	1.530153099	1.530153099
CD53	1.337721011	1.337721011
CD55	1.830302335	1.830302335
CD59	0.216491998	0.216491998
CD5L	2.098907542	2.098907542
CD6	0.492238219	0.492238219
CD63	0.231388146	0.231388146
CD68	1.302496938	1.302496938
CD69	0.461008644	0.461008644
CD7	0.802724477	0.802724477
CD70	0.03433727	0.03433727
CD72	0.913119058	0.913119058
CD74	1.622763902	1.622763902
CD79A	-0.303528878	-0.303528878
CD79B	0.372790024	0.372790024
CD80	0.223876049	0.223876049
CD81	-0.081230772	-0.081230772
CD82	0.290188245	0.290188245
CD83	0.935200669	0.935200669
CD84	1.245479775	1.245479775
CD86	0.948652471	0.948652471
CD8A	1.181939479	1.181939479
CD9	0.009953526	0.009953526
CD93	0.190723447	0.190723447
CD96	0.607838275	0.607838275
CD99L2	0.06839986	0.06839986
CDA	-0.93599451	-0.93599451
CDADC1	-0.027898357	-0.027898357
CDAN1	-0.147383738	-0.147383738
CDC123	-0.291686559	-0.291686559
CDC14A	0.169105655	0.169105655
CDC14B	-0.331557043	-0.331557043
CDC16	-0.102965133	-0.102965133
CDC20	-0.432172323	-0.432172323
CDC20B	0.050408465	0.050408465
CDC23	0.008335578	0.008335578
CDC25A	-0.393090825	-0.393090825
CDC25B	-0.320105861	-0.320105861
CDC25C	-0.326845333	-0.326845333
CDC26	0.006879382	0.006879382
CDC27	-0.157039363	-0.157039363
CDC34	-0.126370843	-0.126370843
CDC37	-0.197503269	-0.197503269
CDC37L1	-0.082703657	-0.082703657
CDC40	-0.138667316	-0.138667316
CDC42	0.206265417	0.206265417
CDC42BPA	-0.195241623	-0.195241623
CDC42BPB	-0.0959019	-0.0959019
CDC42BPG	-0.241387821	-0.241387821
CDC42EP1	-0.413852656	-0.413852656
CDC42EP2	0.735428035	0.735428035
CDC42EP3	0.179795229	0.179795229
CDC42EP4	-0.006755335	-0.006755335
CDC42EP5	-0.017343409	-0.017343409
CDC42SE1	-0.129693285	-0.129693285
CDC42SE2	-0.017631576	-0.017631576
CDC45	-0.227524313	-0.227524313
CDC5L	-0.102504987	-0.102504987
CDC6	-0.394695115	-0.394695115
CDC7	-0.2920315	-0.2920315
CDC73	-0.177419564	-0.177419564
CDCA2	-0.348032532	-0.348032532
CDCA3	-0.203922107	-0.203922107
CDCA4	-0.107080691	-0.107080691
CDCA5	-0.30153298	-0.30153298
CDCA7	-0.25688433	-0.25688433
CDCA7L	-0.103443981	-0.103443981
CDCA8	-0.165298138	-0.165298138
CDCP1	0.240456798	0.240456798
CDCP2	-0.029387129	-0.029387129
DMBT1L1	-0.007349101	-0.007349101
CDH1	-0.019450445	-0.019450445
CDH10	0.157270106	0.157270106
CDH11	0.666338237	0.666338237
CDH12	-0.004761525	-0.004761525
CDH13	-0.317230624	-0.317230624
CDH15	-0.068167104	-0.068167104
CDH17	-0.071576874	-0.071576874
CDH18	0.014145882	0.014145882
CDH19	0.102346232	0.102346232
CDH2	-0.228491277	-0.228491277
CDH22	-0.029309834	-0.029309834
CDH23	0.1338974	0.1338974
CDH24	-0.174757089	-0.174757089
CDH26	-0.022917254	-0.022917254
CDH3	0.04705692	0.04705692
CDH4	0.041207177	0.041207177
CDH5	-0.056654881	-0.056654881
CDH6	0.21595309	0.21595309
CDH7	-0.011731555	-0.011731555
CDH8	0.022382206	0.022382206
CDH9	0.335354785	0.335354785
CDHR1	0.047024681	0.047024681
CDHR2	-0.706571016	-0.706571016
CDHR3	0.075024703	0.075024703
CDHR4	-0.143067483	-0.143067483
CDHR5	0.041448822	0.041448822
CDIN1	-0.318720705	-0.318720705
CDIP1	-0.179840286	-0.179840286
CDIPT	0.029468488	0.029468488
CDIPTOSP	0.259386231	0.259386231
CDK1	-0.148619488	-0.148619488
CDK10	-0.066149385	-0.066149385
CDK11B	-0.142616467	-0.142616467
CDK12	-0.012766438	-0.012766438
CDK13	-0.035133772	-0.035133772
CDK14	-0.054248335	-0.054248335
CDK15	0.08216662	0.08216662
CDK16	-0.027445828	-0.027445828
CDK17	-0.017441662	-0.017441662
CDK18	0.085258997	0.085258997
CDK19	0.031663235	0.031663235
CDK2	-0.222202216	-0.222202216
CDK20	-0.060915919	-0.060915919
CDK2AP1	-0.31067703	-0.31067703
CDK2AP2	0.148790653	0.148790653
CDK3	0.265661568	0.265661568
CDK4	-0.03372944	-0.03372944
CDK5	0.167907962	0.167907962
CDK5R1	-0.078638718	-0.078638718
CDK5R2	-0.073755335	-0.073755335
CDK5RAP1	-0.008355383	-0.008355383
CDK5RAP2	-0.272109568	-0.272109568
CDK5RAP3	-0.082662512	-0.082662512
CDK6	0.093022981	0.093022981
CDK7	-0.134273613	-0.134273613
CDK8	-0.144308938	-0.144308938
CDK9	-0.052977217	-0.052977217
CDKAL1	0.033426892	0.033426892
CDKL1	-0.089945613	-0.089945613
CDKL2	0.44378784	0.44378784
CDKL3	0.379572802	0.379572802
CDKL4	-0.131082297	-0.131082297
CDKL5	-0.174259124	-0.174259124
CDKN1A	-0.201295685	-0.201295685
CDKN1B	-0.007354231	-0.007354231
CDKN1C	0.53050847	0.53050847
CDKN2A	0.232974638	0.232974638
CDKN2AIP	-0.087544945	-0.087544945
CDKN2AIPNL	-0.221772224	-0.221772224
CDKN2B	0.075155777	0.075155777
CDKN2C	0.230433877	0.230433877
CDKN2D	-0.116123464	-0.116123464
CDKN3	-0.072357487	-0.072357487
CDNF	0.186019602	0.186019602
CDO1	-0.115738314	-0.115738314
CDON	-0.132942423	-0.132942423
CDPF1	-0.180986873	-0.180986873
CDR2	-0.32470766	-0.32470766
CDR2L	-0.351180238	-0.351180238
CDRT4	0.01104604	0.01104604
CDS1	0.024917738	0.024917738
CDS2	-0.01731186	-0.01731186
CDSN	-0.786048339	-0.786048339
CDT1	-0.47728198	-0.47728198
CDV3	-0.231321476	-0.231321476
CDX1	0.081181398	0.081181398
CDX4	0.037639919	0.037639919
CDYL	-0.012785389	-0.012785389
CDYL2	-0.184470156	-0.184470156
CEACAM1	0.050584385	0.050584385
CEACAM21	0.027030379	0.027030379
CEACAM16	0.008722537	0.008722537
CEACAM18	0.005865777	0.005865777
CEACAM19	0.358205602	0.358205602
CEACAM20	0.129384703	0.129384703
CEACAM7	0.03642049	0.03642049
CEBPA	0.819003456	0.819003456
CEBPB	0.731651827	0.731651827
CEBPD	0.527827248	0.527827248
CEBPE	0.318706042	0.318706042
CEBPG	0.172867106	0.172867106
CEBPZ	-0.173624608	-0.173624608
CEBPZOS	0.096535442	0.096535442
CECR2	0.037344713	0.037344713
CEL	-0.026559839	-0.026559839
CELA1	-0.088058012	-0.088058012
CELF1	-0.152456058	-0.152456058
CELF2	-0.152770351	-0.152770351
CELF3	-0.155135033	-0.155135033
CELF4	0.176603568	0.176603568
CELF5	0.121573294	0.121573294
CELF6	-0.134466606	-0.134466606
CELSR1	0.372448186	0.372448186
CELSR2	-0.590701598	-0.590701598
CELSR3	-0.051042068	-0.051042068
CEMIP	-0.102010087	-0.102010087
CEMIP2	0.063824501	0.063824501
CEND1	0.00320636	0.00320636
CENPA	-0.295312626	-0.295312626
CENPB	-0.268218094	-0.268218094
CENPC	-0.123220889	-0.123220889
CENPE	-0.192482032	-0.192482032
CENPF	-0.310117485	-0.310117485
CENPH	-0.190208309	-0.190208309
CENPI	-0.102320157	-0.102320157
CENPJ	0.556310908	0.556310908
CENPK	0.037258166	0.037258166
CENPL	0.188345394	0.188345394
CENPM	-0.316447469	-0.316447469
CENPN	-0.12891985	-0.12891985
CENPO	-0.396388842	-0.396388842
CENPP	-0.013501774	-0.013501774
CENPQ	-0.164388485	-0.164388485
CENPS	-0.287410636	-0.287410636
CENPT	-0.212029508	-0.212029508
CENPU	-0.224447149	-0.224447149
CENPV	-0.195429028	-0.195429028
CENPW	-0.448973236	-0.448973236
CENPX	-0.116140358	-0.116140358
CEP104	-0.118235219	-0.118235219
CEP112	-0.009147956	-0.009147956
CEP120	0.086529571	0.086529571
CEP126	-0.124345387	-0.124345387
CEP128	-0.051428217	-0.051428217
CEP131	-0.297436219	-0.297436219
CEP135	-0.053258505	-0.053258505
CEP152	-0.352484111	-0.352484111
CEP162	-0.229298997	-0.229298997
CEP164	-0.257394776	-0.257394776
CEP170	0.145604806	0.145604806
CEP170B	-0.069803828	-0.069803828
CEP19	0.173018445	0.173018445
CEP192	-0.352284409	-0.352284409
CEP20	0.130254639	0.130254639
CEP250	-0.231000256	-0.231000256
CEP290	0.210069171	0.210069171
CEP295	-0.376069787	-0.376069787
CEP295NL	-0.06911373	-0.06911373
CEP350	-0.159539927	-0.159539927
CEP41	0.013101047	0.013101047
CEP43	-0.316363041	-0.316363041
CEP44	-0.290207482	-0.290207482
CEP55	-0.149215486	-0.149215486
CEP57	-0.137389767	-0.137389767
CEP57L1	-0.176812172	-0.176812172
CEP63	0.064293649	0.064293649
CEP68	-0.196178798	-0.196178798
CEP70	0.083964296	0.083964296
CEP72	-0.227286415	-0.227286415
CEP76	-0.100841647	-0.100841647
CEP78	-0.313986676	-0.313986676
CEP83	-0.203725102	-0.203725102
CEP85	0.532132461	0.532132461
CEP85L	-0.100015607	-0.100015607
CEP89	-0.284462626	-0.284462626
CEP95	-0.112251987	-0.112251987
CEP97	-0.548787084	-0.548787084
CEPT1	0.506417072	0.506417072
CER1	-0.279909829	-0.279909829
CERCAM	0.245949163	0.245949163
CERK	-0.214928593	-0.214928593
CERKL	-0.475689348	-0.475689348
CEROX1	-0.279626572	-0.279626572
CERS1	-0.336329282	-0.336329282
CERS2	-0.099391371	-0.099391371
CERS3	-0.005801693	-0.005801693
CERS4	0.068845948	0.068845948
CERS5	-0.083205005	-0.083205005
CERS6	0.084337942	0.084337942
CERT1	-0.06509661	-0.06509661
CES1	-0.008524207	-0.008524207
CES2	0.988675615	0.988675615
CES4A	-0.093934658	-0.093934658
CES5A	-0.108567943	-0.108567943
CETN2	0.135000343	0.135000343
CETN3	0.055487922	0.055487922
CETN4P	0.433275439	0.433275439
CFAP100	0.078154128	0.078154128
CFAP126	0.307489231	0.307489231
CFAP157	-0.025742265	-0.025742265
CFAP161	-0.017121611	-0.017121611
CFAP20	-0.164345146	-0.164345146
CFAP20DC	0.077361276	0.077361276
CFAP221	0.092639072	0.092639072
CFAP298	-0.365783779	-0.365783779
CFAP300	-0.242526021	-0.242526021
CFAP36	0.204543057	0.204543057
CFAP410	-0.128282802	-0.128282802
CFAP418	0.252213219	0.252213219
CFAP43	-0.046551198	-0.046551198
CFAP44	-0.022153442	-0.022153442
CFAP45	0.077028118	0.077028118
CFAP46	-0.218859467	-0.218859467
CFAP47	0.0089367	0.0089367
CFAP52	-0.057589131	-0.057589131
CFAP53	-0.007495947	-0.007495947
CFAP54	-0.301807151	-0.301807151
CFAP57	-0.256103396	-0.256103396
CFAP58	-0.035128811	-0.035128811
CFAP61	-0.237544826	-0.237544826
CFAP65	-0.002392549	-0.002392549
CFAP68	0.200371153	0.200371153
CFAP69	-0.229909316	-0.229909316
CFAP70	0.060670538	0.060670538
CFAP73	0.047258456	0.047258456
CFAP74	0.208659814	0.208659814
CFAP77	-0.028594858	-0.028594858
CFAP90	-0.068178579	-0.068178579
CFAP91	-0.160164696	-0.160164696
CFAP92	0.023523513	0.023523513
CFAP97	-0.211718103	-0.211718103
CFAP97D2	-0.03260925	-0.03260925
CFAP99	-0.044625252	-0.044625252
CFB	1.248183995	1.248183995
CFD	0.145022034	0.145022034
CFDP1	-0.009443097	-0.009443097
CFH	1.057678499	1.057678499
CFHR3	-0.007978924	-0.007978924
CFI	-0.02692981	-0.02692981
CFL1	-0.129994985	-0.129994985
CFL2	0.140289997	0.140289997
CFLAR	0.184289822	0.184289822
CFP	1.52765913	1.52765913
CFTR	0.081950524	0.081950524
CGAS	-0.077141643	-0.077141643
CGGBP1	0.120477122	0.120477122
CGN	-0.122943222	-0.122943222
CGNL1	-0.023017629	-0.023017629
CGREF1	0.310310796	0.310310796
CGRRF1	0.188453196	0.188453196
CH25H	1.664100885	1.664100885
CHAC1	-0.452454485	-0.452454485
CHAC2	0.28170179	0.28170179
CHAD	0.050931447	0.050931447
CHADL	-0.222664858	-0.222664858
CHAER1	0.172434179	0.172434179
CHAF1A	-0.428086668	-0.428086668
CHAF1B	-0.423229597	-0.423229597
CHAMP1	-0.104880117	-0.104880117
CHASERR	-0.076176826	-0.076176826
CHAT	-0.096616918	-0.096616918
CHCHD1	-0.080590552	-0.080590552
CHCHD10	0.187444404	0.187444404
CHCHD2	0.061083556	0.061083556
CHCHD3	0.022639378	0.022639378
CHCHD4	-0.355133258	-0.355133258
CHCHD5	-0.000709218	-0.000709218
CHCHD6	-0.010127504	-0.010127504
CHCHD7	-0.015300113	-0.015300113
CHCT1	-0.408095702	-0.408095702
CHD1	-0.360572449	-0.360572449
CHD1L	-0.128379328	-0.128379328
CHD2	-0.296762473	-0.296762473
CHD3	-0.217729189	-0.217729189
CHD4	-0.252423073	-0.252423073
CHD5	-0.555077893	-0.555077893
CHD6	-0.174476633	-0.174476633
CHD7	-0.066904923	-0.066904923
CHD8	-0.3588573	-0.3588573
CHD9	-0.075426004	-0.075426004
CHDH	0.082939754	0.082939754
CHEK1	-0.339729653	-0.339729653
CHEK2	-0.319623176	-0.319623176
CHERP	-0.424518528	-0.424518528
CHFR	-0.011862962	-0.011862962
CHGA	0.931113564	0.931113564
CHGB	0.082775791	0.082775791
CHIA	-0.08486255	-0.08486255
CHIC1	0.19253006	0.19253006
CHIC2	-0.039689035	-0.039689035
CHID1	0.130899292	0.130899292
CHI3L1	0.214764975	0.214764975
CHIT1	0.013126677	0.013126677
CHKA	-0.255768477	-0.255768477
CHKB	-0.159801018	-0.159801018
CHL1	0.646403924	0.646403924
CHM	-0.053209334	-0.053209334
CHML	-0.09087309	-0.09087309
CHMP1A	-0.075547631	-0.075547631
CHMP1B	0.23324023	0.23324023
CHMP1B2P	0.161405013	0.161405013
CHMP2A	0.29587869	0.29587869
CHMP2B	0.030656654	0.030656654
CHMP3	0.119698309	0.119698309
CHMP4B	0.183170611	0.183170611
CHMP4C	0.116507	0.116507
CHMP5	0.118235315	0.118235315
CHMP6	-0.012796067	-0.012796067
CHMP7	0.066300643	0.066300643
CHN1	-0.162311226	-0.162311226
CHN2	-0.132456314	-0.132456314
CHODL	-0.023954185	-0.023954185
CHORDC1	0.023082366	0.023082366
CHP1	0.11182633	0.11182633
CHP2	1.353042662	1.353042662
CHPF	-0.157503069	-0.157503069
CHPF2	0.170420367	0.170420367
CHPT1	0.03696543	0.03696543
CHRAC1	-0.161316648	-0.161316648
CHRD	0.308273099	0.308273099
CHRDL1	1.02393305	1.02393305
CHRDL2	0.044080693	0.044080693
CHRM1	-0.04383672	-0.04383672
CHRM2	-0.015474957	-0.015474957
CHRM3	-0.037956199	-0.037956199
CHRM4	0.110361186	0.110361186
CHRM5	-0.004067117	-0.004067117
CHRNA1	-0.089100949	-0.089100949
CHRNA10	-0.009430588	-0.009430588
CHRNA2	0.023742187	0.023742187
CHRNA3	0.063819231	0.063819231
CHRNA4	0.072498991	0.072498991
CHRNA5	0.305899437	0.305899437
CHRNA9	-0.061228511	-0.061228511
CHRNB1	0.011956226	0.011956226
CHRNB2	-0.118034549	-0.118034549
CHRNB4	0.143855963	0.143855963
CHRND	-0.066292569	-0.066292569
CHRNE	-0.071839088	-0.071839088
CHRNG	-0.004540339	-0.004540339
CHST1	0.07325294	0.07325294
CHST10	-0.025766836	-0.025766836
CHST11	0.717345627	0.717345627
CHST12	-0.05479425	-0.05479425
CHST13	0.028464073	0.028464073
CHST14	0.025884073	0.025884073
CHST15	0.072838709	0.072838709
CHST2	-0.004754837	-0.004754837
CHST3	0.008572254	0.008572254
CHST5	0.049755335	0.049755335
CHST7	0.260712615	0.260712615
CHST8	0.129476407	0.129476407
CHSY1	-0.386412498	-0.386412498
CHSY3	-0.122128732	-0.122128732
CHTF18	-0.424867446	-0.424867446
CHTF8	-0.344257762	-0.344257762
CHTOP	-0.100527279	-0.100527279
CHUK	-0.107340777	-0.107340777
CHURC1	0.137592441	0.137592441
CIAO1	-0.018448213	-0.018448213
CIAO2A	0.040929294	0.040929294
CIAO2B	-0.121156991	-0.121156991
CIAO3	-0.065842219	-0.065842219
CIAPIN1	-0.172815824	-0.172815824
CIART	-0.210708347	-0.210708347
CIB1	0.26780368	0.26780368
CIB2	0.420523262	0.420523262
CIB3	0.027695974	0.027695974
CIBAR1	-0.034435847	-0.034435847
CIC	-0.159854451	-0.159854451
CIDEA	-0.060474596	-0.060474596
CIDEB	0.175469211	0.175469211
CIDEC	-0.004837363	-0.004837363
CIITA	1.176132911	1.176132911
CILK1	-0.295498979	-0.295498979
CILP	0.635338913	0.635338913
CILP2	-0.011287511	-0.011287511
CINP	-0.28375808	-0.28375808
CIP2A	-0.326684408	-0.326684408
CIPC	-0.113789863	-0.113789863
CIR1	0.009552167	0.009552167
CIRBP	-0.124507089	-0.124507089
CIROP	-0.009430588	-0.009430588
CISD1	-0.022077304	-0.022077304
CISD2	-0.05580615	-0.05580615
CISD3	0.036869118	0.036869118
CISH	0.513593345	0.513593345
CIT	-0.636395114	-0.636395114
CITED1	0.550487256	0.550487256
CITED2	0.06821863	0.06821863
CITED4	-0.174937994	-0.174937994
CIZ1	-0.162853224	-0.162853224
CKAP2	-0.192656496	-0.192656496
CKAP2L	-0.145646282	-0.145646282
CKAP4	-0.102358469	-0.102358469
CKAP5	-0.325835398	-0.325835398
CKB	-0.392176049	-0.392176049
CKLF	0.005280325	0.005280325
CKM	-0.464456348	-0.464456348
CKMT2	0.023679582	0.023679582
CKS1B	-0.276033627	-0.276033627
CKS2	-0.177057983	-0.177057983
CLASP1	-0.253015043	-0.253015043
CLASP2	-0.261463159	-0.261463159
CLASRP	-0.188658017	-0.188658017
CLBA1	-0.087957691	-0.087957691
CLCA1	0.013472678	0.013472678
CLCA2	0.197315516	0.197315516
CLCA3P	-0.12396031	-0.12396031
CLCA4	-0.00027684	-0.00027684
CLCC1	-0.216674844	-0.216674844
CLCF1	0.320591361	0.320591361
CLCN1	-0.332503962	-0.332503962
CLCN2	-0.127489849	-0.127489849
CLCN3	-0.099757776	-0.099757776
CLCN4	-0.202739247	-0.202739247
CLCN5	-0.105922272	-0.105922272
CLCN6	-0.313037419	-0.313037419
CLCN7	0.049032714	0.049032714
CLCNKA	0.03709043	0.03709043
CLDN1	0.075533274	0.075533274
CLDN10	0.052684043	0.052684043
CLDN11	-0.003502678	-0.003502678
CLDN12	0.05130668	0.05130668
CLDN4	-0.247221296	-0.247221296
CLDN14	-0.033973301	-0.033973301
CLDN15	-0.254613542	-0.254613542
CLDN19	0.155107475	0.155107475
CLDN2	-0.044858811	-0.044858811
CLDN20	0.046813045	0.046813045
CLDN23	0.086329473	0.086329473
CLDN24	-0.053932927	-0.053932927
CLDN3	0.11438238	0.11438238
CLDN34	-0.292684116	-0.292684116
CLDN5	0.249857766	0.249857766
CLDN7	0.099671869	0.099671869
CLDN8	0.006755419	0.006755419
CLDN9	-0.133472656	-0.133472656
CLDND1	-0.13308924	-0.13308924
CLEC10A	1.81527443	1.81527443
CLEC11A	0.067932872	0.067932872
